Name,UserName,Desc
Touchzing Media,touchzing,"Premium iPad apps on History for students and history enthusiasts. Current apps on WWI, WWII, American History and Abraham Lincoln Interactive."
Steve Ngô,SteveNgoSF,"Trustee, City College of San Francisco, and lawyer."
bonnie walker,bonniew62987142,"mother, writer ,teacher, love 
the blues and the Giants"
D Maduli-Williams,dmaduliwilliams,"Veteran ESL Educator, RPCV, Air Force brat, social media addict & tech-ed enthusiast. Mom to 2 sports-loving boys!"
geraldhallsf,geraldhallsf,"Survived High School, College, Grad school and Law school! Interests in Fitness, Disney, Beer, Travel, Government Policy."
PMMonticelloKievlan,PMKievlan,"writer, reader, director of learning support, displaced Texpat. cognitive neuroscience/edtech/cycling/cooking/music enthusiast. Always read the plaque."
KGO Assignment Desk,KGOdesk,The KGO-TV/ABC7 News assignment desk. Follow @abc7newsBayArea for updates.
Erica Romero,romeroericam,"Higher education advocate, food lover, Cal & Harvard grad, @hacuwro (#highered work) @amocomer (food). Views here my own."
AFT Higher Ed,AFTHigherEd,"Representing over 200,000 faculty, staff and graduate employees in higher education."
Seana Wagner NCOE,swagnerNCOE,Public Information Officer and Project Development Manager at the Napa County Office of Education.
Derek Williams,derekiw,On A Mission to Succeed
keith entzeroth,keithentzeroth,CoFounder of instin - Makers of @myhomeworkapp and @teachersio
Alex VanRoekel,alexvanroekel,2013 graduate of USC in political science & economics.  I'm a progressive who loves discussing politics & I'm also a huge sports fan. Fight On! RT≠endorsement
Lisa Lorona,LoronaLisa,
DCA,DCAnews,"California Department of Consumer Affairs 
(800) 952-5210"
CAREER ENDEAVOUR ,IITJAMCoaching,"IIT-JAM Coaching|IIT-JAM Study Material|IIT-JAM Test Series|Contact No.: 011- 27241845, 65462244, 09540292991"
Rigel S. Massaro,RigelMassaro,
Leora Wolf-Prusan,Leorawp,"Doctor of Education, coach, analyzer, thinker, questioner... believer in the human capacity to solve problems through creativity, love & justice."
Dain Olsen,olsendain,"media arts education specialist, media artist"
MatrixParentNetwork,MatrixParents,Empowering families of children with special needs for 30 years
Jennifer Slaboda,jenslab,"Passionate downhill skier, pet lover, marcom fan, environmentalist.  Mom of 2.  Communications mgr @ScoutsFund, independent consultant @Arbonne."
Wairok,wairok1234,"Who said Old is Gold? When new Diamond is ahead of you....Explore and get the best gem ......best, http://t.co/5DYZziODXw"
MunisRule,munisrule,
Tennessee Bats,TennesseeBats,Badass Teachers in Tennessee want an end to high stakes testing and TN Secretary of Education Kevin Huffman removed from office.
Al Webb,IAmAlWebb,
Kevin Dayton,DaytonPubPolicy,"Kevin Dayton is the President & CEO of Labor Issues Solutions, LLC and the Dayton Public Policy Institute in California."
KT Spiegel,ATeachersGuide,"Education news, tips and tricks from a current classroom teacher."
Todd Van Horn,tvanhorn39,Principal and Practitioner in K-8 urban education for 26+ years. Lifelong learner and Aspiring Superintendent.
Ms. Guerrero,GuerreroMs,
Kelly Stuart,kelstu415,"Director of Dissemination, Developmental Studies Center.
Worked for WestEd on Doing What Works and School Turnaround Learning Community."
Dina Martin,CTAdinasf,"Public education advocate, California booster, CTA staffer. Tweets are my own."
Evan Bartelheim,EvanBartelheim,
MusicForYouthLA,MusicForYouthLA,Everybody Deserves Music is a project of the LA Leadership Academy that provides after-school intervention and enrichment to at-risk youth in Los Angeles.
Michelle Rusk,nemo9123,
Casey Gabriel,EducationBudget,K-12 Financial & Business Management
Brain Shift Radio,BrainShiftRadio,"Focus. Sleep. Calm.
The confluence of music and human potential in a customized streaming radio.
Exploring technology & education, wellness & innovation."
The Madcap Adventure,MadcapLearning,Knowledge Creation through Digital Innovation:The Madcap Learning Adventure testing completed; created by @DavidDevine1;initial funding from @gatesfoundation.
Jeanette Borden,Jeanette_Borden,
Bubbling Wells,BubblingWells,"We are Bubbling Wells Bobcats, a K-5 Elementary School in the city of Desert Hot Springs in the Palm Springs School District"
Melanie Welsh,melanieawelsh,"LAUSD CCSS ELA Expert, ESC North::Educator who loves technology::NCTE ASCD SPED GATE GIFTED CUE::MA Education::Teaching::MEd Educational Leadership"
T. Collier,LuvtoEducate,
Maggie ,maggiesteakley,
VT-AOE CTE,VTED_CareerTech,Vermont Agency of Education's Career Technical Education (CTE) team. CTE is learning that works for Vermont!  RT ≠ Endorsement.
Luis Sanchez,eastlasanchez,
AcademyArts&Sciences,AArtsnSciences,"Academy of Arts and Sciences; a leading free public charter school of choice for K-12 students, offering a blended (online & on site) customized education."
Azar Aftimos,AzarAftimos2,
Efraín Tovar,tovaralms,"educator | musician | designer | technologist. ELD/ELA teacher at Abraham Lincoln Middle School. 1:1 classroom. M.A.Ed., B.C.L.A.D., T.C. Founder of @CAellchat."
Cheri Taylor,taylorfamof4,"Mom, Wife, Instructional Coach, and Rodan+Fields Consultant! God is good ALL of the time
!!! =)"
Kelli Huettenhain,kellihuett,
Maria Henri,mvhenri,"Book lover, beginning gardener, writer, English teacher, lifelong learner..."
Athena Mak,AthenaMak,
Don C.,TchrNORPAC,"Teacher, union member, Upstate New Yorker. Tweets about education, labor, politics and other neat stuff."
Steve Dorsey,sadorsey,If you have bacon and Dr Pepper you can't go wrong! the necessity of a High / Middle school Principal
Jacqueline,Matranga,I speak six languages
Warren Slocum,warrenslocum,"I work for the people of East Palo Alto, Menlo Park, Redwood City & North Fair Oaks as a San Mateo County Supervisor."
PublicSectorPartners,PSPIncEvents,"PSP, Inc is a connector organization, defining the IT needs of California State Government Agencies, then finding and connecting the solutions."
UC Ed Partnerships,UCedpartners,"Education Partnerships at the University of California works w/ K-12, community college & CSU to enhance #collegeaccess & teacher prep. Get UC tips & planners!"
Nola-rae Cronan,thedeangms,"Middle School Dean, CK Girls School, Teacher, Clinical Social Worker, Mom of Two, Wife of Upper School Dean of Boys, Passionate about Educating Young Women."
Alameda CC Food Bank,ACCFB,Alameda County Community Food Bank provides healthy food and nutrition education to people in need & promotes policies that address hunger and its root causes.
Christine cvijetic,ccvijetic,
Molly Tafoya,MollyTafoya,Director of Communications @EarlyEdgeCA Always and forever an island girl. Tweets don't necessarily represent Early Edge California's perspectives.
Rebecca Sibilia,RebeccaSibilia,Believe in investing in great schools to rebuild communities. CEO/Founder of @edbuild focused on the intersection of cities & schools. http://t.co/HTVbw7gIll
Eclectic Educator,andreamhagan,Teacher|Educator
sbgreenstein,greenstein_s,
Victor Tellez,VictorT09320719,"Soccer, brain research,  Doctoral candidate at Argosy University, Educator, If you have something worthy of hearing I'll follow, if not, I won't."
Bryce Geigle,BGeigle,Graduate Student. English Teacher. Educational Enthusiast. Philosophical Outlier. Avid Sports Fan. Run Junkie.
paul,paulmc_jft,taking time to sit still today     http://t.co/cmffiLWobH
John Hall,johnchall123,Founder of some of the largest and most successful charter schools in the U.S.
Mike Odeh,mikeyodeh,"I do health policy @ChildrenNow. I enjoy gin, jars, snacks, exceptional Sundays, & being Uncle. I make hummus, not walls. Opinions are my own."
Lou Anne Bynum,LABynum,"Executive Vice President of College Advancement & Economic Development at Long Beach City College, linking education & training to jobs."
Huskies,JWNorthHS,
Betina Hsieh,ProfHsieh,"Assistant Professor, Teacher Education, Cal State Long Beach; Teacher, Curriculum Designer, Content area literacy specialist: Reflection promotes growth"
Daisy Roque,daisyroquee,
Lori ,B1B2Mom,
Sabrina Hernandez,SHCLEARVOZ,Be of service...in big or small ways...just do something!
CalcRound,CalcRound,The Calculus Roundtable provides alternative pathways to higher level math skills for children of color at various grade levels (not limited to high school)
USD: SOLES: ELDA,SOLES_ELDA,
Julie Turk,VHSLibraryTech,Vista High School Library Technician
skoolma,skoolma,
Gail Verdi,gailverdi,Faculty member at Kean University in Elementary and Bilingual Education
Suzy Loftus,suzyloftus,For the People.
Heidi M,HeidiMahmud,"Parent Educator Coach with LAUSD, 
Doctoral Student at Azusa Pacific University, &
former Middle School Math Teacher"
Amber Banks,EdCapitalPrjct,"Educator. Writer. Optimist. Social Broker.  Believer in equity and the collective power of youth, families, schools, and communities to transform the world."
Fuse Corps DC,Fuse_DC,Fuse Corps Fellow & Civic Entrepreneur at America's Promise Alliance Raising student achievement by helping business and education collaborate more effectively
Adrienne Lu,adriennelu,Public policy research and analysis on cities and states. alu@pewtrusts.org
GHSB,ghsblaw,"Garcia, Hernandez, Sawhney & Bermudez, LLP provides a full range of legal services to businesses and institutions throughout the country."
Savannah Reid,savannyreid,Poop.
Field of Study,fieldofstudy,"A design partner in building experiences + interactions that enable educators & learners
to achieve in education."
Adele Thomas,AdeleT75,
NCYL,NCYLnews,"The National Center for Youth Law works to ensure  poor children have the resources, support, and opportunities they need for healthy and productive lives."
Nicole Pelton,nicole_pelton,"Dreaming of the day we all go solar. Marketing pro, former co-ed ice hockey player, mom of two superstars"
William Toomey,BabyBaines,
Summit Schools,SummitPS,Summit Public Schools have an unrelenting focus on ensuring that all students are prepared for college and life success.
Melissa San Miguel,ML_SanMiguel,"Education advocate for vulnerable children, SF native, news junkie, closet knitter, Game of Thrones enthusiast. Views expressed here are my own."
Andrew Ujifusa,AndrewUjifusa,State policy and politics reporter at Education Week
OFL,OFLSchools,"Serving students since 1999, Opportunities For Learning helps middle school and high school youth, grades 7-12, work towards graduation."
East Bay Comm Fndn,eastbaycf,"East Bay Community Foundation helps donors, non-profits, and business maximize philanthropy. Home of the James Irvine Foundation Conference Center"
Phillip Swagel,pswagel,"Professor at University of Maryland School of Public Policy, non-resident scholar at American Enterprise Institute, senior fellow at Milken Institute."
Joshua Barousse,joshbarousse,"Field Representative, Community Organizer, Young Democrat"
Ann,Abduub,
Doc Rojas,DocRojas_USC,
Jose Luis Silva,realizedu,BlueSets
Linda Galliher,lgalliher,Public Policy Advocate on Education and a strong economy.
Westside Childrens,WCC_LA,"WCC ensures at-risk children have the opportunity to succeed and thrive through early education, programs that strengthen families, and foster care/adoption."
April Oliver,aprileslteacher,Love teaching ESL & tech skills to community college adults. Always looking for ideas to make my students better writers/readers!
Learning Genie,LearningGenie,Learning Genie is a mobile-based data service that helps preschools better record children's daily activities and securely share between teachers and parents.
Chris Coyne,ctcoyne,Senior Education Consultant at @MCEducationUS. Committed to helping teachers help students succeed in math.
YEP-DC,YEP_DC,Young Education Professionals-DC | Connecting tomorrow's education leaders
UnitedWaySV Advocate,UWSV_Advocate,Advocacy & Public Policy Manager at @UnitedWaySV.  Opinions expressed are solely mine.  RTs do not imply endorsement.
Rene Aguilera,ReneAguilera4,"Join me at the Cesar Chavez Youth Leadership Conference on March 28, 2015 at UC Davis. I am a local School Board Member of RJUHSD, CLSBA and NALEO."
Lodi News-Sentinel,lodinews,"The daily newspaper covering the Lodi, California, area."
Paul Buckley,PBScore,Writes and records music in a Chinatown warehouse five days a week.  Built a car once.  Met the Queen of Jordan.
"Maugdog, Inc.",MaugdogGames,"Quality artisan games for the mobile device market; Edtech, Boston Entrepreneur"
Kirstin Miller,kirstinMmiller,"K-12 education policy nerd, Graduate Student in Education Policy, Organization, and Leadership Studies at Stanford GSE"
Parasa Chanramy,ParasaChanramy,"Policy Manager @WashingtonStand, former educator, committed to helping ALL children access excellent schools that prepare them for success in college & beyond."
valeriehoughton,valeriehoughton,"Milan Method Family Therapist, Family Mediator, Lawyer & Forensic Consultant, Therapeutic Jurisprudence, Public Interest/Disability Rights, Horse & Golf Nut"
Sean Cavanagh,EdWeekSCavanagh,Covering education industry and innovation. Also follow at @EdWeekEdTech and @EdWeekIandI
Juliet Williams,JWilliamsAP,"Associated Press political reporter in Calif capital. Aspiring stealth skier, NorCal foodie. Impact as a noun only."
Dave Sanders,dsanders911,
Kat Fonotova,Kat269oo7,City and regional planner
Iris Palmer,Irisonhighered,Working to improve #HigherEd. At http://t.co/QpYfDxfmnh Tweets are my own.
Eryn Mercer-Niehues,EM_Niehues,"United Way Public Policy Manager. 
Opinions expressed are my own."
Sandra Sanchez,smsanche,"Doctoral Student at Cal Lutheran University
Special Education Teacher"
SIATech Schools,siatech,An innovative network of fully-accredited public charter high schools focused on dropout recovery.
Marc Berman,Marc_Berman,"Development Director at SVEF, Attorney and Palo Alto City Councilman. RT ≠ endorsement. @svefoundation"
Luis Quinonez,QBayArea,Retweets are not endorsements. Giants and 49er fan.
Jennifer Coulter,jennbcoulter,Tweets about demanding action to prevent gun violence. Communications. Politics. Workers. Jesus. Maryland. Tennessee. WNBA. #gunsense #mdpolitics #momsdemand
Isabel Morales,isabeljmorales,Education & social justice nerd. LAUSD & LA County TOY. I proudly represent Boyle Heights everywhere I go.
Katie Fleming,rightonkatie,life...finds a way
Daisy Colchie,bewithart,#TEACHING #ART & #MARTIAL ARTS #KIDS #SAN FRANCISCO #SCHOOLS #BAY AREA #MUSEUMS #KIDS #PARENTS #AIKIDO
Roxanne Klarin,RoxanneKlarin,GLAMC
William Wayland,wdwayland,"Brand Communications Specialist.  I tweet about branding, advertising, and design."
SpecialEdGuide,SpecialEdGuide,"We are your go-to resource for mastering the terminology, procedures and best practices in special education. Please connect with us!"
Davidson Films,DavidsonFilms,"Davidson Films provides classrooms around the world with award-winning educational films in Psychology, Neuroscience, Child Development, Education, etc."
CSO Capital,CSOcapital,"CSO Capital brings a deep understanding of markets, a scientific approach, and innovative technology in the world's highly competitive financial markets."
Helen Blank,BlankHelen,Worked to expand children and families' access to high quality child care and early education for over 30 years. Views are my own.
AtcTeachers,AtcTeachers,Australian Teachers is a 21st Century organisation working with collaborative partners from around the world to improve Teaching and Learning in Education.
Katherine Ames,kathy_ames,Vice president of digital media for KSA-Plus Communications.
Wonderbug Adventures,WonderbugAdv,Wonderbug Adventures is a science and nature discovery program that offers guided outings and classroom programs to toddlers through kindergarteners.
Denise Nungaray,MzNungaray,Love.Live.Life.Proceed.Progress.
Promote Prevent,PromotePrevent,"Building safe and healthy communities where children and youth learn, play, and grow."
Tracy Edwards,tracyrenee70,"Student, Teacher, Thinker & Techie..."
EarthTeam,ETNetwork,The Next Step in Environmental Education
NIAA ,IAm_Achievement,National Institute of Academic Achievement // Public Policy Think Tank &  Engagement Center // The Collective Voice of The Nation's Future
Ray Pedersen,rpedersen2,"Elementary School Librarian Media specialist, Online student and Maker"
Kevin Martinez,kevinm460,
Astghik Hairapetian,astikeekee,
eTutorHome,eTutorHome,"eTutorHome provides live online learning, assignment & homework help to students in Math, Social Studies & English subjects for school & college courses."
Jessica Aguirre,JessAguirreNBC,"News anchor @NBCBayArea. Education reporter focused on literacy, classroom technology and Calif. public schools. Hosts regular education special “Class Action.”"
Isis ,LatinaEducator,Interests: K-12 education policy; authentic school assessment & accountability; youth-driven initiatives; latina pipeline/pathways; educational equality.
Yolande Beckles,ct1pu,We are an organization developed by parents for parents. To train and develop them so they have the knowledge and power in how to navigate public education.
Rebecca Olker,rebeccaSCCOE,"Manager, Internal Business Services, Santa Cruz County Office of Education"
Matt James,NextGenMatt,"President and Co-Founder,
Next Generation @nextgen_usa"
Kaleah Williams,Kaleah_Williams,"Trojan Scottie, mother of 2, blogger, health enthusiast, and nonprofit professional. Cultivating His promise of hope and a future."
Todd Patrick Yocum,DrYocum,Public School Finance Nerd & School Administrator. I am the garage band of Ed Policy. Tweets and RT reflect my opinions alone.
Miss Anna Boze,AnnaBozeEL,
Iris Obregon,iris_obregon,
kasey asberry,humanorigins14,"Designer, gardener, singer."
Aimee,FundMeBetter,Co-Founder of @FundingMyFuture. An open crowd-sourcing site dedicated to furthering individuals' education through the kindness of others. Coming soon.
RBTA,RedondoRbta,"The Redondo Beach Teachers Association represents over 400 teachers, counselors, and school psychologists working in the Redondo Beach Unified School District."
TC2 Residency,tc2_residency,"A teacher preparation program that recruits, prepares, and supports effective math & science candidates in through a yearlong residency."
Reggie Jones-Sawyer,JonesSawyer,"Official Twitter for the CA State Assemblymember of the 59th District, incl. #South LA. RTs & Follows are not endorsements. Contact my office: 916-319-2059"
Elisa Rose,elisamrose,High School - site administrator
Alia Wong,aliaemily,"Associate editor for #education at @TheAtlantic. Past lives: @CivilBeat reporter, Boston University alum. Honolulu // DC. Email: alia@theatlantic.com"
Tara Reynolds,tarainvermont,"Community organizer, social activist, and learned optimist -  working on taking care of this moment."
Valley College,valleycollege,San Bernardino Valley College provides quality education and services that support a diverse community of learners.
Katherine Woodfield,katwoodfield,"High school math teacher and teacher leader/advocate. Interested in math, ed policy, elevating the teaching profession, and learning."
seevivianwrite,seevivianwrite,Twirling a pencil waiting for a write idea
Carol Speckmann,caspeckmann,
Kristen Coates,PrincipalLion,Proud Principal of Leroy Greene Academy!
Bob  Becker,bobbecker_ca,"An average guy; husband, dad & wrestling coach. K-12 Education policy consultant for the CA Assembly Republican Office of Policy. #edreform #schoolchoice"
Kristen Thomas,kristenrthomas,Associate Principal & Jeopardy Enthusiast
John Krull,johnkrull,CTO/CIO in K-12 Education working for Oakland Unified School District
Joni Allison,JoniAllison23,Reader. Thinker. Teacher. Learner. Explorer.
Kathleen Frazer,katfrazer,
Ron Handel,LodiEdManager,"Live in Lodi, CA with my wife and son while my daughter lives in SoCal.  I'm the Business Manager of Rio Valley Charter School."
EdSuperHighway,EdSuperHighway,High-speed broadband for all of America's K-12 students.
AARP California,AARPCA,"Advocacy, news, and research that matters to Californians 50+, shared with humor and style. We're where our members are! http://t.co/htMdknFmDu"
Jamelia Oliver,Joliver1234,
valarie,vppeterson,Teacher/Writer
Talent Management,LASchoolsTalent,Educator Growth and Development #TGDC #SLGDC #teachingandlearning
Angela,_AngelaGreig,"Wife, mom, science teacher, cat herder, chauffeur, short order cook ... not always necessarily in that order :-)"
AA Male Achievement,AAMAOUSD,The Office of African American Male Achievement (AAMA) in the Oakland Unified School District (OUSD) Follow us on istagram @AAMAOUSD
Bonnie Mace,BonnieMace,"Associate Director of Events and Special Programs, Silicon Valley Leadership Group and Evergreen Elementary School Board Trustee"
Sara Hossaini,sarastrummer,"Garden, cook, trot, plot. I report on a variety of topics in San Francisco and the East Bay for KQED."
CommunicationWorks,CommWorksLLC,Advancing good ideas to improve education.
Don Clyde,ClydeDon,On-call online producer and reporter for KQED News.
Bill Tipton,BillTipton1,"Skyline Elementary Principal, Ferndale, WA"
Jessica Slusser,Jess_Slusser,"Project Coordinator @Getting_Smart | EdTech Advocate | Sports Lover | Wife | Blogger. Passionate about learning, family, and life."
Ian Squibb,olihun,Advocate for Educational Refinement & Innovation . Principal . Agent of Change . Father
Lynn Krizic,doclsk15,
Lee Castello,castello_lee,
Sarah Delaney-Busch,SDelaneyBusch,
Andres Duran Ed.D. ,adurangtz67,
Inspiration Software,InspirationSW,Inspiration Software supports improvements in education & academic achievement through visual thinking & learning tools. Problems? techsupport@inspiration.com
Christopher M Ahearn,cmahearn,"Husband, vegetarian, teacher, nonprofit strategist, dog owner, @reinventcomm team member. Voice of an educator, soul of an idealist."
Michael Teer,MikeTeer,Probate Specialist. Real Estate Broker with over 30 years experience assisting buyers and sellers with their Real Estate transactions.
Jennifer Nichols,abdbarista,"Assistant Professor of Arabic Studies, 
Kenyon College"
Chris Eckert,teacherchris13,"Assistant Principal, Tech-Integration Specialist, Google Certified Teacher! Always searching & sharing technology tools to enhance instruction and teacher PD."
TeachingEngLearners,TeachingELs,Teaching English Learners is committed to ensuring the academic success of #ELL students--the fastest-growing population in schools. Join us!
Content.Clothing,TheAntiBrand,"Literacy for all

Content. Clothing is a socially conscious clothing brand that supports childhood literacy programs globally."
Karissa Yee,KarissaYee,Working for change in LA and SF. It starts with the kids. Views are my own.
Wil Page,utlakingms,UTLA Chapter Chair of Thomas Starr King Middle School
Dr. Rue Avant,rueavant,I am an educator and artist. My work in emotional intelligence helps to enhance work relationships and productivity in the workplace.
Caroline Vander Ark,cvanderark,"Passionate about education, innovation, food & wine. Partner + COO @Getting_Smart. Loving life in Seattle with my husband & pups."
1Education,1Education,
Enroll,enroll,"Holistic collaborative global online education platform coming to your city, village, classroom, home & mobile summer 2013 #Edtech #highered #K12 #collegeaccess"
Leercirkels,Onderwijscirkel,Leren zijn cirkels in beweging en gaat steeds weer door. Never stop learning * at school * at work * in life
Genevieve Wilson,theschoolteachr,On a never ending quest to continually improve my effectiveness as a classroom teacher.
Jason Borgen,jborgen,"Passionate Educator, Father, Husband, life-long learner, and Program Director for TICAL - Statewide project in CA and AR."
C.Davis,Teachwithclass2,I love being an educator!
Joshua Joiner,joshuajoiner1,Educator & Explorer | capricorn | MA Education | Tier 1 admin credential CalPoly Pomona | French Lit | urban planning | UCLA | let's follow each other :)
Martin Galindo,mgalindo509,"Proud to be the Superintendent of the El Rancho Unified School District. Encouraging leadership and innovation through trust, inquiry and a focus on results."
TICAS,TICAS_org,The Institute for College Access & Success is an independent nonprofit research and policy organization working to make #college more affordable.
Manny Lopez,mannylopez1,Teacher. Activist. Bookscout. Polyglot. Contemporary Art Collector. Weird Shit/Movies/Music/Food/Travel/Family oh my! Living and loving life!
Joanna Banks,BanksJoanna,
Dan Walters,WaltersBee,Political columnist for Sacramento Bee
AdvanceProjEduEquity,EdEquityAP,The Educational Equity program at Advancement Project expands educational opportunities for low-income children from birth through high school graduation.
Justin Raisner,jraisner,"Journalism adviser for Carlmont High School. Teacher, husband, father."
Mattis Goldman,mattisg,"Partner at Three Point Media; Democratic media consultant. In LA, or on a plane. (Standard disclaimer language.)"
Just Teach Basics,justteachme,Executive Director:ensuring that each student has the basics to reach his or her fullest potential to secure a successful future.
Fernando Duran,Fernando61,Principal in Santa Ana USD committed to closing the achievement gap. Believes English Language Learners have a learning advantage!!!
Christi Carpenter,LQQKY,"I always say, if you're going to be a pirate, be the best pirate you can be."
BOSSreaders,BOSSreaders,Comprehensive reading training for grades 3+.  We partner with schools & families to build stronger readers and reading coaches. Use our hashtag: #ReadLikeABOSS
Caytie Bagatelos,LexiaSFBayArea,Building support for blended learning schools in the SF Bay Area using Lexia Reading
Lisa R. Ramirez,Lisarramirez,
Paul Muench,PaulMuench2,
john maisterra,johnmaisterra,Working for change and Social Justice one milestone at a time.
ChattHillsCharterSch,ChattHillsChSc,"K-5 Public #charter #school in Fulton County Focusing on utilizing the wonders of the natural world through agriculture, environment, & arts. #edchat, #gaedchat"
Arthur Montejano,artmontejano,Educator | Coach | Performance Consultant
Janet M. Robertson,m_janetro,"I teach 1st grade! :-) Need I say more? 
...still love teaching after 35 years!..."
TFA Los Angeles,TFA_LA,
Casey Lamonski,cshortski,"Childrens Advocate, Education Seeker, Marketing Maven, Event Planner, Full Time Career Gal and Mom to 2."
Brock Grubb,brockgrubb,"Diffuser of innovations; interested in improving #education and making the world a better, more equitable place"
Michael W. Niehoff,mwniehoff,"Leadership Coach FCOE, Founding Principal Minarets HS, Lifelong PBL Proponent/Practitioner, GCT, Edu Blogger, Teach Like A Feral Pig and Sigma Education Group"
David Hrisco,comet_dave,"Professional Research: Serious Game Design, Integration of Games and Literacy, Ubiquitous Computational Design."
By The Sea,Bytheseafresno,
Marta Segura,MartaSpeaks,"Grassroots Diva, Latina owned Governmental , Leadership & Community relations firm. Civic Particpation & Engagement.  City Planning Commissioner,  Board Member"
Sarah Lillis,SarahBethL,"Mom, wife, education advocate and unabashed singer of show tunes. Tweets are my own."
Jere Hochman,JHSTL,"NY Public School Superintendent  & following everything Cardinals, running, and public education. Opinions?  MINE"
Pam Hernandez,pgilders,"Asst. Prin. in SLO Cty. ACSA SLO Charter Co-President, Region XIII VP Leg. Action, SLOCUE Board, Passion for Ethical Leadership & Innovation Leading Edge Cert."
Diana Flores,helpingeducate,
Kathi Felder,kfelder,"Director of Curriculum, Ed Tech PD provider, eLearning advocate, Educational Technology Coach, Google Certified Teacher, CUE Member, life-long college student"
The Heckman Equation,heckmanequation,"Nobel laureate economist James Heckman shows how smart investments in early childhood development improve social, economic and health outcomes."
Abby Moser,MoserAbby,
Lauren Foreman,LNotes101,"Education reporter, writer and teacher's kid covering Kern County communities for The Bakersfield Californian"
rplank,rplank,LAUSD K-12 Education Data Technology
Professional Tutors ,ProTutorsUSA,"Online tutoring, One-to-one tutoring, special education network of teachers, and much more! Celebrating our 30th anniversary (we know your card is in the mail)"
Allison Granger,allgrange,
The Ivy Key,TheIvyKey,"The Ivy Key is a premier New York City-based tutoring company. We will tweet weekly, engaging about breaking current events in education."
Discovery Kids,DiscoveryKids,We inspire #kids to explore the world around them through our innovative activities. Official #DiscoveryKids US account #sharks #dinos #science #animals #space
CalEdFinance,CalEdFinance,
Instructor  Hull,HullPSA,"Teacher, loves teaching science, kayaking and playing in nature"
David Franz,DavidFranz2,"General, Sunbird, Wahoo, hauler of books."
Tracy Rohlfing Ed. D,Trohlfing1,
Leslie Wriston ,Lwriston,
Kim Wright,wRightway2go,"Mother,
Friend,
Lifelong Learner,
Child Advocate,
Educator"
Jackie Zubrzycki,JZubrzycki,"Education reporter @ChalkbeatCO, part of @Chalkbeat network."
Scholarship Doctor,scholarshipdr,"Nationally recognized scholarship coach with Scholarship Solutions, Inc. We help students go to college for free!"
Mr. SooHoo,dsoohoo,
Brian Wanlass,brianwanlass,International affairs grad student. Erstwhile Californian lost on the east coast.
Schools FCU,SchoolsFCU,"Serving the educational community in Los Angeles with checking, savings and low rate loans. We give you higher interest earned and lower interest charged."
Erin Widman,ErinWidman73,
